alpha,total_fixed_points,stable_fixed_points,fixed_points,stable_points
7.4,3,2,"[(0.13769737388862419, 7.262302626111377), (1.7781179884781135, 1.7781179884781129), (7.262302626111377, 0.13769737388862477)]","[(0.13769737388862419, 7.262302626111377), (7.262302626111377, 0.13769737388862477)]"
7.5,3,2,"[(0.13579192629975756, 7.364208073700245), (1.7876094083749057, 1.7876094083749008), (7.364208073700242, 0.13579192629975986)]","[(0.13579192629975756, 7.364208073700245), (7.364208073700242, 0.13579192629975986)]"
7.6000000000000005,3,2,"[(0.13393944403532543, 7.466060555964677), (1.7970104257394068, 1.7970104257394164), (7.466060555964673, 0.13393944403532798)]","[(0.13393944403532543, 7.466060555964677), (7.466060555964673, 0.13393944403532798)]"
7.7,3,2,"[(0.1321377109957394, 7.567862289004261), (1.806323119890503, 1.8063231198905032), (7.567862289004262, 0.13213771099573937)]","[(0.1321377109957394, 7.567862289004261), (7.567862289004262, 0.13213771099573937)]"
7.800000000000001,3,2,"[(0.13038463500584693, 7.669615364994154), (1.8155494954817641, 1.8155494954817644), (7.669615364994154, 0.13038463500584713)]","[(0.13038463500584693, 7.669615364994154), (7.669615364994154, 0.13038463500584713)]"
7.9,3,2,"[(0.12867823914289928, 7.771321760857102), (1.82469148611264, 1.8246914861126418), (7.771321760857101, 0.12867823914290089)]","[(0.12867823914289928, 7.771321760857102), (7.771321760857101, 0.12867823914290089)]"
8.0,3,2,"[(0.12701665379258337, 7.872983346207417), (1.8337509577214033, 1.8337509577213964), (7.872983346207416, 0.12701665379258315)]","[(0.12701665379258337, 7.872983346207417), (7.872983346207416, 0.12701665379258315)]"
8.100000000000001,3,2,"[(0.12539810936191864, 7.974601890638084), (1.84272971177564, 1.842729711775631), (7.974601890638079, 0.12539810936191909)]","[(0.12539810936191864, 7.974601890638084), (7.974601890638079, 0.12539810936191909)]"
8.2,3,2,"[(0.1238209295857911, 8.07617907041421), (1.8516294882747317, 1.8516294882747277), (8.07617907041421, 0.12382092958579137)]","[(0.1238209295857911, 8.07617907041421), (8.07617907041421, 0.12382092958579137)]"
8.3,3,2,"[(0.12228352537073467, 8.177716474629266), (1.8604519685775172, 1.8604519685775178), (8.177716474629268, 0.12228352537073428)]","[(0.12228352537073467, 8.177716474629266), (8.177716474629268, 0.12228352537073428)]"
8.4,3,2,"[(0.1207843891257715, 8.27921561087423), (1.8691987780672985, 1.8691987780672983), (8.279215610874232, 0.12078438912577202)]","[(0.1207843891257715, 8.27921561087423), (8.279215610874232, 0.12078438912577202)]"
8.5,3,2,"[(0.11932208953542203, 8.380677910464579), (1.8778714886653782, 1.877871488665379), (8.380677910464577, 0.11932208953542348)]","[(0.11932208953542203, 8.380677910464579), (8.380677910464577, 0.11932208953542348)]"
8.600000000000001,3,2,"[(0.11789526673470158, 8.482104733265302), (1.8864716212034178, 1.886471621203416), (8.482104733265299, 0.11789526673470309)]","[(0.11789526673470158, 8.482104733265302), (8.482104733265299, 0.11789526673470309)]"
8.7,3,2,"[(0.11650262785011381, 8.583497372149886), (1.8950006476640655, 1.8950006476640646), (8.583497372149887, 0.11650262785011284)]","[(0.11650262785011381, 8.583497372149886), (8.583497372149887, 0.11650262785011284)]"
8.8,3,2,"[(0.11514294287428956, 8.684857057125713), (1.9034599932986334, 1.9034599932986336), (8.684857057125711, 0.11514294287428997)]","[(0.11514294287428956, 8.684857057125713), (8.684857057125711, 0.11514294287428997)]"
8.9,3,2,"[(0.11381504084523622, 8.786184959154765), (1.911851038629853, 1.9118510386298484), (8.786184959154763, 0.11381504084523629)]","[(0.11381504084523622, 8.786184959154765), (8.786184959154763, 0.11381504084523629)]"
9.0,3,2,"[(0.11251780630393748, 8.887482193696064), (1.9201751213471803, 1.9201751213471787), (8.88748219369606, 0.11251780630393898)]","[(0.11251780630393748, 8.887482193696064), (8.88748219369606, 0.11251780630393898)]"
9.1,3,2,"[(0.11125017600676096, 8.98874982399324), (1.9284335381015638, 1.9284335381015656), (8.988749823993235, 0.11125017600676221)]","[(0.11125017600676096, 8.98874982399324), (8.988749823993235, 0.11125017600676221)]"
9.200000000000001,3,2,"[(0.11001113587126903, 9.089988864128733), (1.9366275462060172, 1.9366275462060114), (9.089988864128731, 0.11001113587127032)]","[(0.11001113587126903, 9.089988864128733), (9.089988864128731, 0.11001113587127032)]"
